,Neighborhood,Population,Total private dwellings,Population density per square kilometre,Crime Cases,COVID Cases,latitude,longitude,Crime Rate,COVID Rate,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue,Count
117,Tam O'Shanter-Sullivan,27446.0,10384.0,5073.0,234.0,890.0,43.7798835,-79.30553811573397,0.046126552335895916,0.17543859649122806,Park,Fast Food Restaurant,Pizza Place,Pharmacy,Bank,Shopping Mall,Chinese Restaurant,Thai Restaurant,Seafood Restaurant,Fried Chicken Joint,26
118,Taylor-Massey,15683.0,6452.0,15528.0,214.0,606.0,43.7240387,-79.2661943,0.013781555899021122,0.03902627511591963,Chinese Restaurant,Coffee Shop,Bus Line,Sandwich Place,Hobby Shop,Pharmacy,Bus Stop,Pizza Place,Fast Food Restaurant,Health Food Store,17
119,The Beaches,21567.0,9926.0,6058.0,183.0,210.0,43.6710244,-79.296712,0.030207989435457248,0.034664905909541105,Pub,Beach,Coffee Shop,Breakfast Spot,Japanese Restaurant,Pizza Place,French Restaurant,Health Food Store,Spa,Bar,85
120,Thistletown,10360.0,3472.0,3130.0,147.0,898.0,43.7372656,-79.5653169,0.04696485623003195,0.2869009584664537,Indian Restaurant,Caribbean Restaurant,Asian Restaurant,Park,Pharmacy,Pizza Place,Coffee Shop,Skating Rink,Supermarket,Thai Restaurant,17
121,Thorncliffe Park,21108.0,7225.0,6787.0,173.0,1415.0,43.704553,-79.3454074,0.02548990717548254,0.20848681302490055,Indian Restaurant,Afghan Restaurant,Coffee Shop,Turkish Restaurant,Yoga Studio,Burger Joint,Gym,Grocery Store,Middle Eastern Restaurant,Supermarket,28
122,Trinity-Bellwoods,16556.0,7562.0,9570.0,290.0,330.0,43.64756465,-79.41388090266673,0.030303030303030304,0.034482758620689655,Bar,Café,Bakery,Pizza Place,Asian Restaurant,Cocktail Bar,Dessert Shop,Men's Store,Yoga Studio,American Restaurant,100
123,University,7607.0,3826.0,5395.0,243.0,212.0,43.6561192,-79.38467,0.04504170528266914,0.03929564411492122,Coffee Shop,Café,Japanese Restaurant,Hotel,Gastropub,Yoga Studio,Thai Restaurant,Bookstore,Sushi Restaurant,Burrito Place,100
124,Victoria Village,17510.0,7562.0,3710.0,230.0,794.0,43.732658,-79.3111892,0.06199460916442048,0.21401617250673854,Middle Eastern Restaurant,Portuguese Restaurant,Chinese Restaurant,Coffee Shop,Pet Store,Thrift / Vintage Store,Park,French Restaurant,Pizza Place,Thai Restaurant,15
125,Waterfront Communities-The Island,65913.0,47209.0,8943.0,1410.0,1304.0,43.7729847,-79.4999278,0.15766521301576653,0.14581236721458124,Coffee Shop,Café,Market,Pharmacy,Mexican Restaurant,Middle Eastern Restaurant,Tennis Stadium,Shopping Mall,Fast Food Restaurant,Chinese Restaurant,33
126,West Hill,27392.0,10318.0,2856.0,631.0,1078.0,43.7689144,-79.1872905,0.22093837535014005,0.37745098039215685,Park,Breakfast Spot,Pizza Place,Fast Food Restaurant,Coffee Shop,Bank,Restaurant,Medical Center,Gym / Fitness Center,Food & Drink Shop,39
127,West Humber-Clairville,33312.0,11045.0,1117.0,1014.0,2527.0,43.72337025,-79.59745741095173,0.9077887197851388,2.26230975828111,Ice Cream Shop,Swiss Restaurant,Paper / Office Supplies Store,Bank,Theme Park,Mediterranean Restaurant,Chinese Restaurant,Grocery Store,Food & Drink Shop,Sandwich Place,23
128,Westminster,26274.0,10454.0,7339.0,204.0,1754.0,43.7774549,-79.44898325200244,0.027796702548031068,0.2389971385747377,Grocery Store,Park,Coffee Shop,Pizza Place,Bakery,Butcher,Skating Rink,Sandwich Place,Eastern European Restaurant,Pharmacy,18
129,Weston,17992.0,8061.0,7197.0,335.0,1365.0,43.7001608,-79.5162474,0.046547172432958174,0.1896623593163818,Train Station,Ice Cream Shop,Coffee Shop,Gas Station,Soccer Field,Café,Skating Rink,Grocery Store,Park,Sandwich Place,17
130,Wexford,27917.0,10462.0,2724.0,448.0,1127.0,43.7453767,-79.2947155,0.1644640234948605,0.41372980910425844,Middle Eastern Restaurant,Pizza Place,Grocery Store,Burger Joint,Intersection,Dessert Shop,Hookah Bar,Seafood Restaurant,Fish Market,Coffee Shop,34
131,Willowdale East,50434.0,23901.0,10087.0,377.0,681.0,43.7615095,-79.4109234,0.03737483890155646,0.067512640031724,Coffee Shop,Sushi Restaurant,Grocery Store,Japanese Restaurant,Pizza Place,Fast Food Restaurant,Fried Chicken Joint,Sandwich Place,Ramen Restaurant,Bank,94
132,Willowdale West,16936.0,8054.0,5820.0,202.0,305.0,43.7615095,-79.4109234,0.03470790378006873,0.05240549828178694,Coffee Shop,Sushi Restaurant,Grocery Store,Japanese Restaurant,Pizza Place,Fast Food Restaurant,Fried Chicken Joint,Sandwich Place,Ramen Restaurant,Bank,94
133,Woburn,53485.0,19098.0,4345.0,662.0,2858.0,43.7598243,-79.2252908,0.1523590333716916,0.6577675489067895,Fast Food Restaurant,Sandwich Place,Pizza Place,Discount Store,Department Store,Grocery Store,Coffee Shop,Park,Bakery,Bank,39
134,Woodbine,12541.0,5620.0,7838.0,154.0,156.0,43.6863861,-79.31271156664201,0.01964786935442715,0.01990303648890023,Coffee Shop,Café,Bar,Arts & Crafts Store,Bank,Park,Breakfast Spot,Gastropub,Pharmacy,Bus Line,46
135,Wychwood,14349.0,6185.0,8541.0,138.0,342.0,43.6821217,-79.42383883756801,0.016157358623112048,0.040042149631190724,Italian Restaurant,Ice Cream Shop,Coffee Shop,Bakery,Indian Restaurant,Restaurant,Mexican Restaurant,Park,Grocery Store,Bank,68
136,Yonge-Eglinton,11817.0,6103.0,7162.0,185.0,158.0,43.7067479,-79.3983271,0.02583077352694778,0.022060876850041888,Coffee Shop,Italian Restaurant,Sushi Restaurant,Café,Restaurant,Dessert Shop,Gym,Pizza Place,Yoga Studio,Deli / Bodega,100
137,Yonge-St.Clair,12528.0,7475.0,10708.0,81.0,161.0,43.6880777,-79.3943963721967,0.007564437803511393,0.015035487485991782,Italian Restaurant,Sushi Restaurant,Restaurant,Coffee Shop,Liquor Store,Spa,Café,Park,Supermarket,Breakfast Spot,46
138,York University Heights,27593.0,11051.0,2086.0,729.0,2042.0,43.7587808,-79.5194336,0.3494726749760307,0.9789069990412272,Hotel,Gas Station,Grocery Store,Pizza Place,Fast Food Restaurant,Theater,Coffee Shop,Pharmacy,Intersection,Athletics & Sports,30
139,Yorkdale-Glen Park,14804.0,5847.0,2451.0,426.0,977.0,43.703434,-79.45291835752212,0.17380660954712362,0.39861281109751123,Furniture / Home Store,Grocery Store,Coffee Shop,Pizza Place,Bank,Sandwich Place,Fast Food Restaurant,Mediterranean Restaurant,Paintball Field,Ice Cream Shop,40
