,Neighborhood,Population,Total private dwellings,Population density per square kilometre,Crime Cases,COVID Cases,latitude,longitude,Crime Rate,COVID Rate,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue,Count
28,Danforth,9666.0,4108.0,8554.0,145.0,190.0,43.6864333,-79.3003555,0.01695113397241057,0.02221183072246902,Coffee Shop,Pizza Place,Ice Cream Shop,Bus Line,Park,Sushi Restaurant,Asian Restaurant,Supermarket,Caribbean Restaurant,Mexican Restaurant,54
29,Danforth East York,17180.0,7275.0,7881.0,129.0,,43.6881713,-79.3018156,0.016368481157213552,,Coffee Shop,Ice Cream Shop,Sandwich Place,Arts & Crafts Store,Bank,Sushi Restaurant,Convenience Store,Park,Pizza Place,Discount Store,50
30,Don Valley Village,27051.0,10196.0,6441.0,247.0,729.0,43.7926732,-79.3547219,0.038348082595870206,0.11318118304611086,Coffee Shop,Chinese Restaurant,Sandwich Place,Park,Pizza Place,Grocery Store,Bank,Bakery,Fast Food Restaurant,Intersection,36
31,Dorset Park,25003.0,8995.0,4146.0,328.0,1442.0,43.7528467,-79.282067,0.07911239749155813,0.3478051133622769,Restaurant,Coffee Shop,Indian Restaurant,Fast Food Restaurant,Gym,Bowling Alley,Burger Joint,Soccer Field,Chinese Restaurant,Italian Restaurant,25
32,Dovercourt-Wallace Emerson-Junction,36625.0,16248.0,9819.0,551.0,942.0,43.6673299,-79.43810604666803,0.05611569406253183,0.09593644974029943,Bar,Coffee Shop,Café,Bakery,Park,Pharmacy,Mexican Restaurant,Italian Restaurant,Grocery Store,Diner,94
33,Dufferin Grove,11785.0,5815.0,8540.0,183.0,318.0,43.6536319,-79.4264389,0.02142857142857143,0.03723653395784543,Café,Bar,Coffee Shop,Italian Restaurant,Restaurant,Vegetarian / Vegan Restaurant,Japanese Restaurant,Cupcake Shop,Korean Restaurant,Park,100
34,East End-Danforth,21381.0,9535.0,8038.0,299.0,452.0,43.6684402,-79.33067,0.037198308036825084,0.056232893754665336,Pizza Place,Indian Restaurant,Grocery Store,Bar,Brewery,Fast Food Restaurant,Café,Diner,Coffee Shop,American Restaurant,100
38,Emery,15545.0,5390.0,3565.0,325.0,1331.0,43.7520744,-79.5423657,0.091164095371669,0.37335203366058906,Fast Food Restaurant,Vietnamese Restaurant,Asian Restaurant,Hockey Field,Tea Room,Caribbean Restaurant,Japanese Restaurant,Clothing Store,Food Court,Sandwich Place,16
39,Englemount-Lawrence,22372.0,8858.0,6466.0,195.0,1497.0,43.7133583,-79.4367338,0.030157748221466132,0.2315187132694092,Coffee Shop,Pharmacy,Fast Food Restaurant,Bank,Department Store,Bakery,Liquor Store,Middle Eastern Restaurant,Sandwich Place,Gym,25
40,Etobicoke West Mall,11848.0,4727.0,6582.0,87.0,558.0,43.6435491,-79.56532534553605,0.013217866909753875,0.08477666362807658,Convenience Store,Coffee Shop,Intersection,Pharmacy,Café,Beer Store,Gym,Gym / Fitness Center,Farmers Market,Park,28
